Hashtag,Post Count
icecream,42421198
tastethesix,373980
blogto,2121476
tastetoronto,829157
icecreamlovers,374035
eeeeeats,22252023
foodstagram,91918120
detroitfoodiefinds,23824
softserve,725950
chocolate,98458259
icecreamlover,1393877
instafood,200946760
foodphotography,80799932
foodporn,264116508
streetfoodindia,543008
foodoftheday,8245570
breakfast,104485808
foodstylist,3226004
foodstyling,11974365
smallbusiness,65536632
photooftheday,931659387
beautiful,749153718
foodgasm,60666442
food,448822800
yummy,177274754
foodie,190204691
